//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	500	3584	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Bronze Helm (1 UN)
1010	1010	500	3585	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dragon Helm (1 UN)
1020	1020	500	3586	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Pad Helm (1 UN)
1030	1030	500	3587	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Legendary Helm (1 UN)
1040	1040	500	3588	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Bone Helm (1 UN)
1050	1050	500	3589	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Leather Helm (1 UN)
1060	1060	500	3590	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Scale Helm (1 UN)
1070	1070	500	3591	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Sphinx Mask (1 UN)
1080	1080	500	3592	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Brass Helm (1 UN)
1090	1090	500	3593	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Plate Helm (1 UN)
1100	1100	500	3594	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Vine Helm (1 UN)
1110	1110	500	3595	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Silk Helm (1 UN)
1120	1120	500	3596	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Wind Helm (1 UN)
1130	1130	500	3597	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Spirit Helm (1 UN)
1140	1140	500	3598	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Guardian Helm (1 UN)
1150	1150	500	3600	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Black Dragon Helm (1 UN)
1160	1160	500	3601	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dark Phoenix Helm (1 UN)
1170	1170	500	3602	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Grand Soul Helm (1 UN)
1180	1180	500	3603	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Holy Spirit Helm (1 UN)
1190	1190	500	3605	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Great Dragon Helm (1 UN)
1200	1200	500	3606	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dark Soul Helm (1 UN)
1210	1210	500	3608	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Red Spirit Helm (1 UN)
1220	1220	500	3609	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Light Plate Mask (1 UN)
1230	1230	500	3610	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Adamantine Mask (1 UN)
1240	1240	500	3611	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dark Steel Mask (1 UN)
1250	1250	500	3612	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dark Master Mask (1 UN)
1260	1260	1000	3613	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dragon Knight Helm (1 UN)
1270	1270	1000	3614	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Venom Mist Helm (1 UN)
1280	1280	1000	3615	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Sylphid Ray Helm (1 UN)
1290	1290	1000	3617	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Sunlight Mask (1 UN)
1300	1300	1000	3618	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Ashcrow Helm (1 UN)
1310	1310	1000	3619	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Eclipse Helm (1 UN)
1320	1320	1000	3620	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Iris Helm (1 UN)
1330	1330	1000	3622	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Glorious Mask (1 UN)
1340	1340	1000	3623	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Violent Wind Helm (1 UN)
1350	1350	1000	3624	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Red Wing Helm (1 UN)
1360	1360	1000	3625	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Ancient Helm (1 UN)
1370	1370	1000	3626	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Demonic Helm (1 UN)
1380	1380	1000	3627	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Storm Blitz Helm (1 UN)
1390	1390	1000	3628	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Eternal Wing Helm (1 UN)
1400	1400	1500	3629	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Titan  Helm (1 UN)
1410	1410	1500	3630	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Brave Helm (1 UN)
1420	1420	1500	3633	9	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Seraphim Helm (1 UN)
