//----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com
//->>  FB: @mspromu
//->>  © 2020 - 2022 MuServerPro Team
//----------------------------------------------------------------------------------------------------------------

//-----------------------------------------------------------------------------------------------------------------------------------
//[0~15]	[0~512]    [0~15]  [0~255][0-1]   [0-1]  [0~7]	 [0~63] [0/21~22] [0~173] [0-128] [254 Open/255 Clossed - 200~246 Types] 
//Section   TypeItem   Level   Dura   Skill   Luck   Option  ExcOp	SetOpion  JoH	  OEx	  Socket1 Socket2 Socket3 Socket4 Socket5
//-----------------------------------------------------------------------------------------------------------------------------------
4           7      0       255   0       0      0        0	0	0	0	255	255	255	255	255
4           7      1       255   0       0      0        0	0	0	0	255	255	255	255	255
4           7      2       255   0       0      0        0	0	0	0	255	255	255	255	255
4           7      3       255   0       0      0        0	0	0	0	255	255	255	255	255
4           15     0       255   0       0      0        0	0	0	0	255	255	255	255	255
4           15     1       255   0       0      0        0	0	0	0	255	255	255	255	255
4           15     2       255   0       0      0        0	0	0	0	255	255	255	255	255
4           15     3       255   0       0      0        0	0	0	0	255	255	255	255	255
13          7      0       1     0       0      0        0	0	0	0	255	255	255	255	255
13          7      1       1     0       0      0        0	0	0	0	255	255	255	255	255
14          10     0       1     0       0      0        0	0	0	0	255	255	255	255	255
13          29     0       1     0       0      0        0	0	0	0	255	255	255	255	255
end
