//----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com
//->>  FB: @mspromu
//->>  © 2020 - 2022 MuServerPro Team
//----------------------------------------------------------------------------------------------------------------

//-----------------------------------------------------------------------------------------------------------------------------------
//[0~15]	[0~512]    [0~15]  [0~255][0-1]   [0-1]  [0~7]	 [0~63] [0/21~22] [0~173] [0-128] [254 Open/255 Clossed - 200~246 Types] 
//Section   TypeItem   Level   Dura   Skill   Luck   Option  ExcOp	SetOpion  JoH	  OEx	  Socket1 Socket2 Socket3 Socket4 Socket5
//-----------------------------------------------------------------------------------------------------------------------------------
7           5          0       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
8           5          0       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
9           5          0       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
10          5          0       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
11          5          0       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
7           0          2       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
8           0          2       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
9           0          2       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
10          0          2       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
11          0          2       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
7           6          3       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
8           6          3       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
9           6          3       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
10          6          3       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
11          6          3       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
0           6          3       0      0       1      0       0	    0	      0	      0		  255	  255	  255	  255	  255
0           7          3       0      0       1      0       0	    0	      0	      0		  255	  255	  255	  255	  255
2           8          3       0      0       1      0       0	    0	      0	      0		  255	  255	  255	  255	  255
12          21         3       0      0       1      1       0	    0	      0	      0		  255	  255	  255	  255	  255
end

