//----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com
//->>  FB: @mspromu
//->>  © 2020 - 2022 MuServerPro Team
//----------------------------------------------------------------------------------------------------------------

//-----------------------------------------------------------------------------------------------------------------------------------
//[0~15]	[0~512]    [0~15]  [0~255][0-1]   [0-1]  [0~7]	 [0~63] [0/21~22] [0~173] [0-128] [254 Open/255 Clossed - 200~246 Types] 
//Section   TypeItem   Level   Dura   Skill   Luck   Option  ExcOp	SetOpion  JoH	  OEx	  Socket1 Socket2 Socket3 Socket4 Socket5
//-----------------------------------------------------------------------------------------------------------------------------------
0           9      0       0     1       1      1        0	0	0	0	255	255	255	255	255
0           11     0       0     1       1      1        0	0	0	0	255	255	255	255	255
0           15     0       0     1       1      1        0	0	0	0	255	255	255	255	255
0           13     0       0     1       1      1        0	0	0	0	255	255	255	255	255
0           12     0       0     1       1      1        0	0	0	0	255	255	255	255	255
0           14     0       0     1       1      1        0	0	0	0	255	255	255	255	255
4           12     0       0     1       1      1        0	0	0	0	255	255	255	255	255
3           8      0       0     1       1      1        0	0	0	0	255	255	255	255	255
3           9      0       0     1       1      1        0	0	0	0	255	255	255	255	255
4           5      0       0     1       1      1        0	0	0	0	255	255	255	255	255
4           13     0       0     1       1      1        0	0	0	0	255	255	255	255	255
end

