//----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com
//->>  FB: @mspromu
//->>  © 2020 - 2022 MuServerPro Team
//----------------------------------------------------------------------------------------------------------------

//-----------------------------------------------------------------------------------------------------------------------------------
//[0~15]	[0~512]    [0~15]  [0~255][0-1]   [0-1]  [0~7]	 [0~63] [0/21~22] [0~173] [0-128] [254 Open/255 Clossed - 200~246 Types] 
//Section   TypeItem   Level   Dura   Skill   Luck   Option  ExcOp	SetOpion  JoH	  OEx	  Socket1 Socket2 Socket3 Socket4 Socket5
//-----------------------------------------------------------------------------------------------------------------------------------
12          30     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          30     1       0     0       0      0        0	0	0	0	255	255	255	255	255
12          30     2       0     0       0      0        0	0	0	0	255	255	255	255	255
12          31     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          31     1       0     0       0      0        0	0	0	0	255	255	255	255	255
12          31     2       0     0       0      0        0	0	0	0	255	255	255	255	255
12          136    0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          136    1       0     0       0      0        0	0	0	0	255	255	255	255	255
12          136    2       0     0       0      0        0	0	0	0	255	255	255	255	255
12          141    0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          141    1       0     0       0      0        0	0	0	0	255	255	255	255	255
12          141    2       0     0       0      0        0	0	0	0	255	255	255	255	255
12          137    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          163    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          164    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          165    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          166    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          223    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          222    0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          15     0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          31    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          22    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14			11	  12	  0     0      0      0        0    0   0   0  255	255	255	255	255
end
